0.9492	0.0109	0.0351	0.6152	213.1870
0.7473	0.0354	0.0361	1.1335	221.4090
0.6290	0.0449	0.0322	1.3868	230.5940
0.5389	0.0586	0.0350	1.7815	239.6650
0.4921	0.0672	0.0458	1.9166	248.7360
0.4583	0.1107	0.1096	-0.2749	284.5850
0.4295	0.0910	0.0680	2.3604	256.6540
0.4240	0.1077	0.1169	0.8132	278.4970
0.3577	0.1199	0.0793	2.8151	264.3720
0.3019	0.1533	0.0867	2.9692	271.7540
0.2718	0.1930	0.0958	-0.5926	288.4880
0.1716	0.2786	0.0663	-1.0933	292.0940
0.1277	0.2457	0.0188	-3.8655	312.7430
0.1236	0.3628	0.0446	-2.1208	295.3260
0.1195	0.2900	0.0391	-4.1126	308.7790
0.1059	0.3670	0.0361	-4.4692	305.4330
0.1033	0.4058	0.0340	-2.6980	297.9620
0.0968	0.4169	0.0323	-4.1335	302.6800
0.0914	0.4521	0.0294	-3.5895	300.3840
0.0000	-1.0000	0.0000	0.0000	158.2140
