     0.920523    0.0228675    0.0254679     0.393529      208.615
     0.696636    0.0275911    0.0266959      1.07336      227.933
     0.694553    0.0375204    0.0293687     0.717829      219.751
     0.590038    0.0412678    0.0318822      1.06425      233.883
     0.549278    0.0490404    0.0425998      1.41890      241.280
     0.545754    0.0515125    0.0618920      1.69324      248.161
     0.545161    0.0555035    0.0839423      1.78323      254.432
     0.541130    0.0554802     0.106805      1.61003      260.269
     0.512527    0.0620192     0.117035      1.53543      265.620
     0.433664    0.0795720     0.115788      2.08391      270.654
     0.388392     0.102770     0.102283      1.78132      275.841

     0.190647     0.172130    0.0792689      1.74875      281.845
     0.156654     0.185340    0.0692784     0.283080      287.565

     0.137707     0.214800    0.0599395     -1.72934      292.905
     0.126993     0.236701    0.0531723     -4.84202      302.838
     0.126294     0.255402    0.0575566     -5.90094      306.187
     0.124996     0.270157    0.0583158     -6.02230      310.684
     0.119345     0.259517    0.0518895     -3.64896      296.822
     0.117831     0.259623    0.0485355     -4.23497      299.858

      0.00000     -1.00000  1.41610e-07      0.00000      158.215
