0.8900	0.0302	0.0332	0.6025	207.9460
0.6479	0.0517	0.0250	0.8102	225.9110
0.6108	0.0504	0.0267	0.8697	231.0960
0.5744	0.0555	0.0288	1.1878	237.2700
0.5392	0.0618	0.0357	1.7218	243.0110
0.5303	0.0608	0.0695	1.6620	255.3720
0.5260	0.0618	0.0471	1.3495	249.3640
0.5239	0.0568	0.0778	1.3967	260.7820
0.4136	0.0949	0.0894	2.1031	266.5530
0.3470	0.1271	0.1098	2.2849	273.0520
0.2848	0.1929	0.0886	-1.0901	291.3310
0.2694	0.1695	0.1023	2.1367	279.8940
0.2278	0.2143	0.0829	1.3998	286.7390
0.1343	0.3634	0.0473	-1.0511	295.1920
0.1084	0.2944	0.0136	-1.8876	309.7240
0.1018	0.4359	0.0343	-1.9520	298.5560
0.0967	0.3803	0.0294	-2.7062	306.4180
0.0903	0.4335	0.0271	-2.7159	303.7850
0.0884	0.4711	0.0273	-2.5649	301.2290
0.0000	-1.0000	0.0000	0.0000	158.2150
