     0.895710    0.0250998    0.0258001     0.322467      208.301
     0.887896    0.0263542    0.0234938     0.447047      213.008
     0.821290    0.0288311    0.0215096     0.429121      217.238
     0.769404    0.0305322    0.0202365     0.492225      222.488
     0.663008    0.0370429    0.0216242     0.613855      228.262
     0.601575    0.0429352    0.0226218     0.792039      234.444
     0.557098    0.0474975    0.0246960      1.17101      240.384
     0.478485    0.0632319    0.0345996      1.60927      246.266
     0.464501    0.0708954    0.0763729      1.94043      259.429
     0.454120    0.0711254    0.0544696      1.90574      252.514
     0.437337    0.0816456    0.0896576      1.97248      265.672
     0.322055     0.121666    0.0863777      2.60758      271.784
     0.282424     0.140958    0.0712507      1.01970      284.212
     0.277094     0.152882    0.0793161      2.69160      278.383

     0.198874     0.204889    0.0601364     0.364588      289.464
     0.149654     0.284521    0.0479635    -0.863505      293.783
     0.112812     0.375835    0.0364239     -1.83511      297.478
     0.099571     0.387865    0.0303906     -3.24440      306.515
     0.093320     0.444741    0.0284116     -2.69711      301.304

      0.00000     -1.00000  1.41610e-07      0.00000      158.215
