0.9024	0.0238	0.0264	0.4036	210.9290
0.8466	0.0320	0.0239	0.5334	216.3110
0.7869	0.0334	0.0275	0.4443	221.4220
0.6336	0.0486	0.0272	0.6110	227.9080
0.5587	0.0590	0.0275	0.8033	234.5720
0.4621	0.0738	0.0350	1.6047	242.5710
0.4612	0.0816	0.0509	1.9213	251.5740
0.4310	0.1052	0.0941	2.2073	259.8020
0.3511	0.1277	0.0969	2.7397	266.5230
0.2904	0.1606	0.0975	2.9141	272.9060
0.2468	0.1928	0.0936	2.5379	279.8250
0.2297	0.2181	0.0866	1.2958	286.1470
0.1840	0.2700	0.0699	-0.0069	291.3160
0.1432	0.3326	0.0521	-1.1348	295.4530
0.1189	0.3095	0.0248	-3.7289	311.7890
0.1088	0.4184	0.0364	-2.1955	298.6030
0.1075	0.3903	0.0344	-4.0573	307.4170
0.1016	0.4194	0.0306	-3.6121	304.2050
0.0972	0.4485	0.0307	-3.0551	301.3220
0.0000	-1.0000	0.0000	0.0000	158.2150
